Group	Acaryochloris	Acetobacter	Achromobacter	Acidimicrobidae	Acidiphilium	Acidovorax	Acinetobacter	Actinoplanes	Actinosynnema	Aeromonas	Agrobacterium	Agromonas	Alicycliphilus	Alteromonas	Amycolatopsis	Anabaena	Anaerobaculum	Anaeromyxobacter	Arthrobacter	Arthrospira	Aster	Atopobium	Azoarcus	Azorhizobium	Azospirillum	Azotobacter	Bacillus	Beutenbergia	Bifidobacterium	Blastococcus	Bordetella	Borrelia	Brachybacterium	Brachyspira	Bradyrhizobium	Brevibacillus	Brevundimonas	Buchnera	Burkholderia	Caldicellulosiruptor	Cardinium	Carnobacterium	Carsonella	Catenulispora	Caulobacter	Cellulomonas	Cellvibrio	Chromobacterium	Chthonomonas	Citrobacter	Clavibacter	Collimonas	Comamonas	Conexibacter	Corallococcus	Corynebacterium	Crinalium	Croceibacter	Cronobacter	Cupriavidus	cyanobacterium	Deinococcus	Delftia	Desulfobacula	Desulfovibrio	Dickeya	Dyadobacter	Edwardsiella	Ehrlichia	Enterobacter	Enterobacteriaceae	Enterococcus	Erwinia	Erythrobacter	Escherichia	Exiguobacterium	Flavobacteriaceae	Flavobacterium	Frankia	Geobacillus	Geobacter	Geodermatophilus	Gordonia	Haemophilus	Haliangium	Haloferax	Halothece	Halovivax	Hamiltonella	Helicobacter	Herbaspirillum	Herminiimonas	Hirschia	Hodgkinia	Hyphomicrobium	Intrasporangium	Isoptericola	Janthinobacterium	Ketogulonicigenium	Kineococcus	Kitasatospora	Klebsiella	Kocuria	Kribbella	Kytococcus	Lactococcus	Lawsonia	Leifsonia	Leptospira	Leptothrix	Magnetospirillum	Mesorhizobium	Methanococcus	Methanocorpusculum	Methanosaeta	Methylibium	Methylobacterium	Microbacterium	Micrococcus	Microcystis	Microlunatus	Micromonospora	Modestobacter	Mycobacterium	Mycoplasma	Myxococcus	Nakamurella	Natronococcus	Neisseria	Nitrobacter	Nitrosococcus	Nocardia	Nocardioides	Nocardiopsis	Nostoc	Novosphingobium	Oscillatoria	Paenibacillus	Pandoraea	Pantoea	Parachlamydia	Paracoccus	Pectobacterium	Pedobacter	Phenylobacterium	Phytoplasma	Plautia	Polaromonas	Polymorphum	Prevotella	Prochlorococcus	Propionibacterium	Pseudogulbenkiania	Pseudomonas	Pseudonocardia	Pseudoxanthomonas	Psychrobacter	Pyrolobus	Rahnella	Ralstonia	Ramlibacter	Raoultella	Rhizobium	Rhodanobacter	Rhodobacter	Rhodococcus	Rhodopseudomonas	Rhodospirillum	Rubrivivax	Rubrobacter	Saccharomonospora	Saccharopolyspora	Saccharothrix	Salinispora	Salmonella	Sanguibacter	Serratia	Shewanella	Singulisphaera	Sinorhizobium	Solibacillus	Sorangium	Sphaerobacter	Sphingobium	Sphingomonas	Sphingopyxis	Spirochaeta	Spiroplasma	Spirosoma	Stackebrandtia	Staphylococcus	Starkeya	Stenotrophomonas	Streptococcus	Streptomyces	Streptosporangium	Sulcia	Synechococcus	Synechocystis	Thauera	Thermoanaerobacter	Thermobifida	Thermobispora	Thermodesulfobium	Thermodesulfovibrio	Thermomonospora	Thermosynechococcus	Thermotoga	Thioalkalivibrio	Tistrella	Tsukamurella	Variovorax	Verminephrobacter	Verrucosispora	Vibrio	Xanthobacter	Xanthomonas	Xylanimonas	Yersinia
BG1	2697	367	7379	47	83	1192	333	418	77	1585	787	189	262	1283	137	3357	1378	127	764	5434	139	1437	385	123	1173	4279	147551	69	78	151	1128	3229	106	135	734	307	74	1895	6292	99	2700	27	2244	132	382	161	304	407	77	5120	386	440	178	180	109	245	2519	304	8862	1098	25	220	805	726	499	5807	94	1479	70	25615	2225	27	21563	340	8274	53	34	281	297	2214	201	151	159	207	112	446	979	63	300	299	579	250	278	15	171	107	119	123	90	142	58	10062	37	138	47	154	207	80	267	156	194	584	2044	60	53	181	3660	252	73	6113	52	65	179	1028	5337	164	113	977	6088	123	69	172	392	127	2443	340	3474	1932	295	1006116	106	315	4683	64	80	566	15077	564	138	81	40	368	496	805882	94	559	39	637	5073	2344	194	2974	1363	234	341	282	825	343	247	16	29	104	78	74	5948	138	17418	694	53	412	36	177	13	412	495	152	20	1040	0	46	207	176	1547	386	1382	110	829	16795	2992	282	187	115	330	359	319	43	13	2597	577	1929	57	1146	314	127	640	113	4398	46	1575
BG2	3620	331	2397	117	102	629	424	573	123	951	1260	156	155	1344	311	3900	2155	186	1483	5228	225	1629	165	125	671	780	459803	151	107	276	422	4371	162	170	930	334	157	2391	3354	130	2828	45	2964	117	360	347	169	130	81	4792	999	261	66	402	141	235	2734	310	8932	354	3	151	384	453	184	5997	55	1958	50	26078	2423	332	23919	378	9801	111	40	342	381	3265	170	359	207	814	184	733	531	66	299	399	233	144	289	18	255	235	198	112	66	252	143	12378	102	256	91	264	273	233	365	194	170	629	2500	82	79	228	8050	617	103	7486	113	173	369	1777	5872	153	119	1245	7385	185	43	231	917	223	2983	365	5012	1837	80	925213	126	276	5256	85	151	774	14172	350	112	54	37	388	232	104096	136	305	77	716	6096	1010	273	2708	1816	115	335	575	825	209	252	48	97	147	106	70	6214	338	19041	1487	82	438	85	313	57	625	956	282	35	1243	14	107	340	177	968	511	2534	161	1023	19833	4258	127	228	288	477	396	293	134	20	2741	240	1372	61	1204	257	113	1270	104	1369	137	2280
BG3	4500	309	1962	118	137	1143	227	731	140	1279	1807	211	271	541	348	4287	2390	252	1566	5995	221	1830	363	138	907	1581	286552	170	126	368	533	5162	164	166	1115	324	229	2368	5333	132	3562	29	2920	152	531	424	249	194	67	20595	1186	367	194	464	142	347	3409	301	20151	581	1	226	714	543	371	8016	96	2092	65	139418	11998	71	18705	425	17620	113	28	344	508	3891	307	381	272	336	189	745	587	76	245	415	399	88	294	24	297	286	210	144	102	331	171	30767	96	316	106	271	267	283	353	337	233	843	2721	77	67	336	10187	831	110	8659	179	196	493	2329	5938	291	207	1296	7402	184	46	284	1061	272	3202	525	6001	1912	163	449750	125	412	7779	51	203	907	8798	437	143	66	33	403	279	752591	248	564	40	632	5826	1424	469	9496	2660	242	469	714	1116	284	364	54	93	214	144	98	20658	365	20558	881	91	590	77	363	111	863	1234	431	30	1215	21	119	323	239	2035	515	3298	197	969	23981	5180	177	208	254	602	500	311	159	44	3238	267	1651	83	2239	305	150	1416	209	2868	151	2453
BP1	142	217	3716	18	80	1238	1386	851	296	7418	847	501	313	2129	685	234	93	128	556	277	10	73	539	269	1197	6376	23419	8	231	51	1618	191	28	20	740	23	44	229	10285	16	95	1	279	29	574	30	166	640	7	43864	72	1250	342	50	165	272	93	29	80177	2715	0	598	739	61	710	48700	38	12545	3	233821	20868	95	189560	48	58181	10	2	53	123	166	335	45	308	281	165	55	45	4	753	40	1420	766	24	2	286	14	26	148	86	27	57	89563	54	47	8	14	14	18	32	526	803	906	151	5	3	151	1556	39	28	303	22	20	25	934	526	169	79	53	643	76	174	121	77	63	152	254	184	270	556	8769147	11	773	38951	172	126	46	132282	1070	163	28	65	161	1664	616807	27	983	39	132	42513	4671	248	25355	2469	536	352	249	770	674	542	7	19	60	21	23	51552	36	144193	3761	28	333	2	142	32	491	235	26	6	87	4	42	19	190	2642	121	1362	44	143	942	147	524	17	23	38	26	16	47	10	125	1328	596	205	1520	400	87	4711	311	21402	10	12556
BP2	445	362	5590	38	102	1365	571	602	74	7508	1442	483	266	3631	674	907	367	104	750	1099	41	321	641	206	1329	4220	24924	15	110	36	1795	745	25	21	870	66	56	513	13125	31	402	4	933	91	588	31	212	748	41	53885	56	1749	459	54	617	264	331	144	100318	2629	17	695	979	266	696	61948	43	19421	20	380014	23552	90	270720	151	56333	24	1	109	261	606	411	55	288	838	139	155	216	10	532	72	2206	1000	116	7	515	23	75	308	257	21	48	111440	10	43	12	31	23	16	66	548	727	1159	326	14	12	234	1589	39	14	1281	27	30	14	1125	1553	63	38	135	1721	59	141	192	31	72	574	219	960	623	698	9836459	38	380	50929	134	96	81	162818	1694	100	57	11	355	1594	711816	22	654	223	505	90337	5754	275	29730	2633	419	446	354	828	593	422	7	35	75	27	12	68112	9	193701	4777	43	480	7	281	15	581	225	62	10	218	49	47	25	198	2765	207	1348	119	538	3197	606	774	54	19	43	103	161	114	2	494	1398	976	278	1507	411	51	5726	263	4271	6	20859
BP3	136	254	8778	30	489	5857	2129	1392	247	10698	2516	931	1854	1119	878	329	110	417	964	290	17	92	2122	916	3981	32541	37652	20	292	146	4898	219	138	8	2843	23	188	184	26524	24	123	12	194	157	2449	104	654	2730	10	44348	189	2487	1542	76	349	1148	119	25	68956	5567	2	1340	4926	104	2170	40077	66	12848	4	480658	22648	99	150072	136	44668	19	1	12	371	243	1243	136	729	256	618	76	49	4	1048	125	5114	866	24	3	348	35	93	476	199	157	132	103701	136	140	58	11	18	34	24	1461	1375	2547	123	5	4	848	6491	93	106	373	51	104	106	2383	381	746	327	86	823	210	187	525	230	324	181	850	242	15589	1237	6217648	20	1782	29770	192	751	45	98880	2976	725	58	63	562	3737	1644040	72	3459	133	78	35665	12211	1637	25004	5599	1621	1419	1012	2269	1846	1966	19	205	199	72	109	47641	132	116076	4092	105	1519	7	401	151	1000	1222	111	12	78	23	144	46	826	4700	107	3363	157	142	1477	217	1400	18	51	60	24	31	276	88	165	3765	1036	193	5744	1044	364	3473	984	10173	59	11650
BS1	218	112	4445	620	635	4997	1993	3328	641	2599	14229	1033	1222	782	1519	501	187	1345	8362	370	71	150	1378	664	2305	2365	5768	819	589	1300	1715	436	880	116	6487	233	1088	953	14181	97	211	162	1169	765	2245	1891	855	749	19	8690	6014	1429	561	2219	699	1614	396	43	15237	1875	5	795	3011	33	844	9738	502	3776	43	53162	4665	370	124846	805	9367	846	949	3745	2416	432	803	1531	1202	433	776	451	59	219	44	327	1499	314	40	60	1539	1491	1056	579	393	1368	770	20063	374	1530	521	183	172	1562	228	1360	815	4345	1106	99	47	1495	42357	4058	557	443	757	872	1761	10237	2984	1398	852	558	7215	1357	105	1478	4931	1301	682	2335	811	638	540	699613	130	2001	8174	668	966	235	18507	1721	855	119	38	1400	740	1643055	1037	3125	134	377	10179	4789	2182	5417	15922	806	2811	3614	5381	1173	1543	279	556	751	714	531	7959	2473	41480	1313	584	3420	296	1767	330	3475	5003	1657	152	471	149	464	2350	1184	14126	488	15767	955	1228	1613	279	739	139	1514	739	47	20	683	60	250	870	921	371	8195	833	650	1197	690	7551	752	2510
BS2	103	64	4418	382	474	3023	281210	2028	367	1572	7168	799	723	878	876	228	116	891	5141	203	35	67	1205	597	2252	5234	4768	496	288	611	1342	235	547	97	4975	150	654	766	12646	67	146	139	1080	412	1715	952	498	543	12	845	2729	1017	513	1304	425	938	269	30	1160	2116	1	528	8676	23	449	1111	401	327	79	16541	846	294	2230	493	1257	581	254	2617	1391	341	725	931	574	384	503	305	28	129	25	196	859	149	22	44	1193	709	479	525	268	696	392	1962	220	912	247	300	106	746	148	1110	575	3292	958	59	72	1104	25087	1898	314	280	396	661	894	6487	2168	1303	466	411	6476	972	58	996	2918	679	402	1513	551	867	984	44952	131	1099	1072	473	676	191	1121	1622	540	76	32	874	702	2557991	647	2511	89	350	1049	4114	1464	507	10915	797	1366	2343	4344	765	1095	175	319	517	363	284	871	3522	4717	1258	303	2146	232	1376	172	2062	3351	1159	88	371	101	330	1940	801	7745	394	9058	551	813	974	132	451	110	866	385	33	11	378	29	132	608	612	300	5985	495	360	381	517	7101	394	340
BS3	474	126	8008	684	575	5883	3341	3013	589	1513	70292	1042	1607	645	1482	694	376	1323	8291	864	77	300	1037	806	2481	744	6991	1185	598	1048	2444	781	839	90	7070	207	1891	1299	9983	82	499	183	1309	775	2868	2008	1922	395	17	7254	4950	1062	835	1924	612	1477	602	136	15476	1663	2	814	17719	70	864	8689	927	3661	60	40752	3346	509	36123	845	9067	760	1614	4574	2213	604	720	1198	1101	463	616	521	138	140	188	273	1143	420	47	29	1623	1269	1122	496	5035	1170	682	19371	421	1323	506	199	147	1574	207	1572	794	4998	1349	80	43	1775	42369	4838	557	1133	692	799	1418	9879	3056	1319	781	1012	6679	1371	85	1338	4418	1119	768	2472	1195	613	471	1485756	144	2500	6200	1167	1158	327	23046	2114	969	152	65	1326	664	133419	886	5737	111	360	8411	4145	2761	4318	26742	1190	3821	3619	5470	1174	1660	209	465	658	643	458	10792	4782	26457	1044	548	4311	271	1758	267	3838	5034	1634	110	542	181	410	2236	1148	51553	525	13587	881	947	3251	582	701	140	1309	697	90	29	618	67	507	692	865	317	9705	924	524	928	784	13482	867	2540
RG1	3	300	1523	235	102	419	631	1038	200	132	307	109	147	368	540	1097	650	327	3799	705	203	262	239	67	723	137	35004	233	137	514	353	920	302	162	644	731	112	3050	2088	237	616	411	3687	285	357	486	240	111	482	147	534	704	61	794	90	476	530	720	214	351	696	188	186	1301	181	156	42	78	176	1012	64	113	1194	134	2477	2369	55	271	824	354	184	585	290	282	286	650	893	588	285	545	476	109	646	208	212	780	280	103	35	298	267	319	270	754	173	251	442	215	545	220	140	685	1737	520	210	193	986	378	192	418	216	425	526	3305	8083	225	228	1409	19319	206	761	469	2360	447	1552	280	751	514	99	7566	259	253	172	50	196	777	276	213	134	338	549	496	116	13779	355	420	356	1011	155	863	327	77	671	211	314	1249	609	184	246	74	157	299	253	214	712	300	886	91	66	1018	447	322	98	382	641	200	275	1518	5	178	844	188	591	414	7830	327	1730	3463	529	140	679	106	236	259	541	220	801	627	138	1199	97	691	162	241	84	106	1063	239	104
