;16SAF1_S10;16SAF3_S11;16SAF4_S12;16SAF6_S13;16SAF8_S14;16Sbee1_S38;16Sbee2_S39;16Sbee3_S40;16Sbee4_S41;16SBF1_S1;16SBF3_S3;16SBF4_S4;16SBF6_S6;16SBF8_S8;16SBS1_S15;16SBS2_S16;16SBS3_S17;16SBS4_S18;16SBS6_S19;16SBS9_S22;16SHS1_S23;16SHS2_S24;16SHS3_S25;16SHS4_S26;16SHS6_S28;16SHS9_S29;16SN1_S47;16SN2_S48;16SN3_S49;16SPP1_S50;16SPP2_S51;16SPP3_S52;HB1-B11_S253;HB1-s-A10_S244;HB2-C11_S254;HB2-s-B10_S245;HB3-D11_S255;HB3-s-C10_S246;HB31-B1-F03_S22;HB31-B2-G03_S23;HB31-B3-H03_S24;HB31-P1-D07_S52;HB31-P2-E07_S53;HB31-P3-F07_S54;HB35-B1-A04_S25;HB35-B2-B04_S26;HB35-B3-C04_S27;HB35-P1-G07_S55;HB35-P2-H07_S56;HB35-P3-A08_S57;HB37-B1-D04_S28;HB37-B2-E04_S29;HB37-B3-F04_S30;HB37-P1-B08_S58;HB37-P2-C08_S59;HB37-P3-D08_S60;HB39-B1-G04_S31;HB39-B2-H04_S32;HB39-B3-A05_S33;HB39-P1-E08_S61;HB39-P2-F08_S62;HB39-P3-G08_S63;HB41-B1-B05_S34;HB41-B2-C05_S35;HB41-B3-D05_S36;HB41-P1-H08_S64;HB41-P2-A09_S65;HB41-P3-B09_S66;HB42-B1-E05_S37;HB42-B2-F05_S38;HB42-B3-G05_S39;HB42-P1-C09_S67;HB42-P2-D09_S68;HB42-P3-E09_S69;HB42-Plant-F12_S190;HB43-B1-H05_S40;HB43-B2-A06_S41;HB43-B3-B06_S42;HB43-P1-F09_S70;HB43-P2-G09_S71;HB43-P3-H09_S72;HB43-Plant-E12_S189;HB44-B1-C06_S43;HB44-B2-D06_S44;HB44-B3-E06_S45;HB44-P1-A10_S73;HB44-P2-B10_S74;HB44-P4-F10_S78;HB45-B1-F06_S46;HB45-B2-G06_S47;HB45-B3-H06_S48;HB45-P0-C10_S75;HB45-P1-D10_S76;HB45-P2-E10_S77;MS1-H1-G10_S79;MS1-R1-F12_S94;MS10-R1-D12_S188;MS2-H1-H10_S80;MS2-R1-G12_S95;MS3-H1-A11_S81;MS3-R1-H12_S96;MS4-H1-B11_S82;MS4-R1-F11_S182;MS5-H1-C11_S83;MS5-R1-G11_S183;MS6-H2-E11_S85;MS6-R1-H11_S184;MS7-H1-F11_S86;MS7-R1-A12_S185;MS8-H1-G11_S87;MS8-R1-B12_S186;MS9-H1-H11_S88;MS9-H10-A12_S89;MS9-R1-C12_S187;NC17-A01_S193;NC18-B01_S194;NC20-D01_S196;NC23-F01_S198;NC27-H01_S200;NC28-A02_S201;NC32-B02_S202;NC33-C02_S203;NC40-D02_S204;NC42-E02_S205;NC43-F02_S206;OB1-B1-A01_S97;OB1-B2-B01_S98;OB1-B3-C01_S99;OB1-H11_S259;OB1-P1-C04_S123;OB1-P2-D04_S124;OB1-P3-E04_S125;OB1-Plant-E12_S264;OB1-s-G10_S250;OB10-B1-H03_S120;OB10-B2-A04_S121;OB10-B3-B04_S122;OB10-P1-F07_S150;OB10-P2-G07_S151;OB10-P3-H07_S152;OB2-A12_S260;OB2-B1-D01_S100;OB2-B2-E01_S101;OB2-B3-F01_S102;OB2-P1-F04_S126;OB2-P2-G04_S127;OB2-P3-H04_S128;OB2-Plant-F12_S265;OB2-s-H10_S251;OB3-B1-G01_S103;OB3-B12_S261;OB3-B2-H01_S104;OB3-B3-A02_S105;OB3-P1-A05_S129;OB3-P2-B05_S130;OB3-P3-C05_S131;OB3-Plant-G12_S266;OB3-s-A11_S252;OB4-B1-B02_S106;OB4-B2-C02_S107;OB4-B3-D02_S108;OB4-P1-D05_S132;OB4-P2-E05_S133;OB4-P3-F05_S134;OB5-B1-E02_S109;OB5-B2-F02_S110;OB5-P1-G05_S135;OB5-P2-H05_S136;OB5-P3-A06_S137;OB6-B1-G02_S111;OB6-B2-H02_S112;OB6-P1-B06_S138;OB6-P2-C06_S139;OB6-P3-D06_S140;OB7-B1-A03_S113;OB7-B2-B03_S114;OB7-B3-C03_S115;OB7-P1-E06_S141;OB7-P2-F06_S142;OB7-P3-G06_S143;OB8-B1-D03_S116;OB8-B2-E03_S117;OB8-P2-A07_S145;OB8-P3-B07_S146;OB8-Plant-H12_S267;OB9-B1-F03_S118;OB9-B2-G03_S119;OB9-P1-C07_S147;OB9-P2-D07_S148;OB9-P3-E07_S149;OC1-G04_S223;OC10-H05_S232;OC2-H04_S224;OC3-A05_S225;OC4-B05_S226;OC5-C05_S227;OC6-D05_S228;OC7-E05_S229;OC8-F05_S230;OC9-G05_S231;PB1-G06_S239;PB3-A08_S241;PC6-D06_S236;PC8-F06_S238
ASV0001;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;138;0;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;7;0;7;24652;22666;22044;12426;15397;14953;22638;15889;13174;14308;14648;33720;23427;18915;23037;22364;27413;13248;26572;17042;25267;24550;23307;30893;20066;26721;24414;36123;21724;22278;18235;5444;18938;18054;19602;29153;11;19484;46337;44506;27065;56300;16541;20;15978;20559;11294;20912;28028;16758;15254;20621;21966;24415;22113;52776;27043;15699;25;61930;38381;21773;34197;11166;21877;18411;13213;22216;37019;16941;19970;23569;24832;34625;5747;18707;0;0;6;0;0;5;5;5;8;8;19;15494;23730;26597;0;28194;25654;30738;10;0;28336;9590;22295;16743;4505;10743;4;21956;23879;20935;26337;21989;26862;0;12;19875;0;28593;16630;17335;28231;21616;9;14;26389;22875;16727;18360;28759;27076;24875;19953;12577;29262;11638;19927;19322;22681;23191;41082;18992;29091;22412;85604;32336;5224;24388;30453;11207;26940;3;19681;19698;26122;41453;40415;11;0;6;5;7;59;0;12;9;0;8;4;5;5
ASV0002;66246;51313;44859;15137;21773;43;63;57;23760;70514;103559;33062;9687;46347;31920;8300;79121;78089;53791;24244;14020;38543;84941;39895;78398;98886;77716;59599;63254;52571;46109;30790;0;92;0;770;0;5668;225;405;1325;98;158;114;449;313;281;93;136;155;930;8312;5116;804;292;1080;1005;379;1935;22;406;79;423;1146;190;126;30;347;932;22;127;44;28;3041;11241;2265;475;1296;110;159;21;23444;317;538;478;503;209;103;1306;223;135;33;213;179;4260;1524;25750;4750;108;2982;205;31;73;554;1704;76;76;174;1374;254;971;2582;33;107;7312;2475;7159;7617;7216;7096;6450;11659;6157;8567;9269;98;1041;554;2201;220;157;237;31637;2620;79;1668;4401;2043;677;994;1626;1772;343;93;1385;275;639;8840;2885;1185;2229;185;434;1185;1839;298;16362;4970;308;2899;1918;2007;819;717;0;290;230;566;782;126;746;7702;601;336;1328;365;1628;1945;168;23;523;233;3413;661;16143;630;1042;1536;2742;2546;13246;11335;16491;7508;5505;5762;18717;2695;11002;20680;12300;10576;9977;13671
ASV0003;232;0;431;4829;329;0;0;0;0;23;0;444;0;556;0;879;22;0;0;0;704;0;35;195;2230;0;9;0;0;68;0;0;0;0;0;0;0;10;2640;3473;3456;1537;2611;707;4113;2766;2111;2360;2630;5957;3902;2315;2667;4256;4647;1855;2650;2539;4024;3103;4411;3100;3371;4615;4004;6638;3570;2970;2745;785;3046;2502;1660;3560;0;3725;6774;6747;3224;4264;1201;0;2375;2036;1495;3863;4967;721;2249;2891;3192;3626;3513;6883;2629;2491;0;8050;6128;3685;5053;1939;3992;2862;2707;3342;6738;2407;3122;3729;3851;5142;1974;2639;0;0;0;0;0;0;0;0;0;0;0;2738;4056;4112;51;4419;2938;3829;0;141;2516;1471;3659;1201;291;587;0;3534;3765;3279;3060;1853;3207;0;34;3026;0;4431;2757;2860;3933;3068;0;0;4104;3399;2221;2677;3287;1776;4669;3016;855;1632;1930;3098;2630;3193;3633;5873;3817;4634;3536;9931;3829;321;4448;4659;2359;4391;0;2288;1955;4126;5034;3403;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0004;0;0;0;0;0;22;0;21;0;267;128;0;87411;368;13945;33847;0;79;32096;2281;18903;1851;0;7097;0;0;190;140;7;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
ASV0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;0;1107;0;9114;10;40;40;8;19;0;43;4;27;0;7;0;92;1425;722;38;37;163;34;6;162;0;51;7;31;125;30;36;8;64;70;0;0;14;0;405;5289;339;58;185;0;19;0;7772;23;6;47;20;0;0;109;6;14;0;0;20;409;440;8893;328;17;462;52;0;22;150;125;12;5;15;150;8;61;295;0;7;6382;2753;6747;3906;4024;5056;5291;12388;5794;6075;7142;9;39;32;2841;6;0;6;15058;3374;0;125;199;90;40;89;2280;28;32;11;158;5;30;4709;3234;266;3188;17;14;30;22;0;7909;6205;15;102;62;147;36;26;0;40;28;33;23;4;298;570;50;38;64;16;258;201;40;4;45;0;61;22;6810;24;64;69;108;76;4039;4428;6595;11520;5559;7217;9673;1998;5034;10863;15268;13138;10008;9915
ASV0006;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;69;214;494;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;1849;1147;2089;1571;1740;809;1813;1864;1898;1549;1345;2936;3305;2149;2178;2513;4413;1779;2457;1469;2738;3224;2849;2433;2490;3950;3644;2887;1507;2182;2802;634;2290;1906;1689;2502;0;1800;3841;5001;3063;4498;1162;0;1953;2078;1457;1751;2480;740;2071;2077;2395;2339;2353;6233;2579;896;0;5822;2571;1429;1427;1078;2775;1686;1617;2346;4207;1308;1027;1521;1798;2269;224;1027;0;88;12;0;12;40;0;0;0;0;0;1156;2199;2040;0;3795;3162;3017;0;0;1833;754;2844;1032;258;613;0;1719;2584;2303;2768;1801;2742;0;0;1718;0;2046;1113;1741;3578;2522;0;0;2637;2571;1754;2126;2654;1708;3000;2423;776;1684;1029;2456;1749;2377;3063;4822;1637;3378;2588;7840;2502;342;3284;3409;957;3419;0;1787;1668;4051;3955;1934;0;0;0;0;0;11;0;0;0;0;0;0;0;0
ASV0007;7938;1689;0;0;15760;70365;5436;49624;28113;1728;4485;3269;4249;7023;7665;3311;3320;9621;4999;14733;6534;8406;2167;5993;714;3350;314;39;90;0;0;0;2854;3447;4594;886;6068;2442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;152;0;0;3;0;0;0;20;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1522;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;212;0;0;0
ASV0008;245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22498;2079;3413;1071;3986;3538;3100;3236;5566;2167;1569;5424;1128;277;1017;796;84;432;752;2171;2653;126;260;1273;225;1683;1114;1471;3829;1166;2048;1960;4218;5531;70;10347;0;2536;1652;1646;57;6;293;0;1337;847;2002;764;520;613;504;507;1102;21;2865;2419;2129;1663;0;3385;327;477;3891;30;104;449;118;1138;122;4407;3524;8402;653;3674;103;5132;0;0;0;0;35;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;9;0;0;0;0;84;6;0;0;0;19;0;0;0;0;0;0;0;0;0;30;9;0;32;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0009;3187;9816;537;3113;1094;11;54632;132;88;2076;15890;8859;6704;5739;2792;681;10560;610;572;1050;28059;968;6588;495;0;0;6832;746;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0010;3071;11798;14744;16307;1474;0;0;0;0;210;1648;7220;504;4788;697;1827;59;352;2785;1065;1316;3010;40;2938;2280;1624;22;14;37;0;0;0;0;50;0;33;0;102;168;101;175;58;138;25;315;154;57;138;111;235;234;144;97;185;264;102;111;157;205;117;336;146;188;203;200;373;182;128;126;57;131;133;122;156;0;189;456;492;287;149;33;0;139;84;142;217;257;40;149;172;198;215;163;268;122;116;0;482;294;217;239;90;157;264;93;243;369;213;158;296;181;207;44;129;299;860;147;317;505;1166;237;776;304;280;70;122;148;107;0;217;118;91;0;18;70;60;162;27;12;28;13;98;133;172;109;74;204;0;21;181;15;161;160;145;240;118;0;19;268;199;124;106;169;49;234;214;43;45;101;179;187;175;230;158;181;328;216;378;209;3;211;192;185;282;0;130;85;309;221;84;248;81;161;12;31;636;297;15;125;96;0;0;0;4
