;Name;Year;Project;Experiment;Material;Treatment;ExpTreatment;Name2;Treatment2;plantID;Plant
16SAF1_S10;16SAF1;2017;Bee2Seed;Honey;Seed;Autogamous;Honey_Autogamous;AF1;NA;AF1;P1
16SAF3_S11;16SAF3;2017;Bee2Seed;Honey;Seed;Autogamous;Honey_Autogamous;AF3;NA;AF3;P3
16SAF4_S12;16SAF4;2017;Bee2Seed;Honey;Seed;Autogamous;Honey_Autogamous;AF4;NA;AF4;P4
16SAF6_S13;16SAF6;2017;Bee2Seed;Honey;Seed;Autogamous;Honey_Autogamous;AF6;NA;AF6;P6
16SAF8_S14;16SAF8;2017;Bee2Seed;Honey;Seed;Autogamous;Honey_Autogamous;AF8;NA;AF8;P8
16Sbee1_S38;16Sbee1;2017;Bee2Seed;Honey;Bee;HoneyBee;Honey_HoneyBee;bee1;NA;bee1;bee1
16Sbee2_S39;16Sbee2;2017;Bee2Seed;Honey;Bee;HoneyBee;Honey_HoneyBee;bee2;NA;bee2;bee2
16Sbee3_S40;16Sbee3;2017;Bee2Seed;Honey;Bee;HoneyBee;Honey_HoneyBee;bee3;NA;bee3;bee3
16Sbee4_S41;16Sbee4;2017;Bee2Seed;Honey;Bee;HoneyBee;Honey_HoneyBee;bee4;NA;bee4;bee4
16SBF1_S1;16SBF1;2017;Bee2Seed;Honey;Seed;BeePollinated;Honey_BeePollinated;BF1;NA;BF1;P1
16SBF3_S3;16SBF3;2017;Bee2Seed;Honey;Seed;BeePollinated;Honey_BeePollinated;BF3;NA;BF3;P3
16SBF4_S4;16SBF4;2017;Bee2Seed;Honey;Seed;BeePollinated;Honey_BeePollinated;BF4;NA;BF4;P4
16SBF6_S6;16SBF6;2017;Bee2Seed;Honey;Seed;BeePollinated;Honey_BeePollinated;BF6;NA;BF6;P6
16SBF8_S8;16SBF8;2017;Bee2Seed;Honey;Seed;BeePollinated;Honey_BeePollinated;BF8;NA;BF8;P8
16SBS1_S15;16SBS1;2017;Bee2Seed;Sterile;Seed;BeePollinated;Sterile_BeePollinated;BS1;NA;BS1;MS1
16SBS2_S16;16SBS2;2017;Bee2Seed;Sterile;Seed;BeePollinated;Sterile_BeePollinated;BS2;NA;BS2;MS2
16SBS3_S17;16SBS3;2017;Bee2Seed;Sterile;Seed;BeePollinated;Sterile_BeePollinated;BS3;NA;BS3;MS3
