COGs	BG1	BG2	BG3	BP1	BP2	BP3	BS1	BS2	BS3	RG1	RG2	RG3	RP1	RP2	RP3	RS1	RS2	RS3
COG0001	74.4	30.3	27.8	54.4	31.7	165.2	30.3	98.4	10.7	4.4	2.2	5.9	124.3	64.6	92.2	12.7	14.0	13.7
COG0002	105.3	69.0	19.7	22.2	72.4	62.5	54.6	79.8	5.9	1.6	1.7	1.0	53.1	52.2	59.6	10.0	11.9	13.3
COG0003	2.8	2.2	5.4	1.0	2.6	3.9	5.2	5.7	3.9	5.0	4.3	3.2	0	2.0	0	10.1	10.6	13.2
COG0004	31.6	18.2	36.3	28.0	26.2	54.3	32.8	80.7	6.7	3.7	3.8	2.4	69.3	51.4	60.2	10.9	12.8	13.4
COG0005	1.6	6.6	7.0	11.5	16.8	9.2	29.9	42.2	5.7	5.0	3.0	2.7	11.1	18.7	37.8	12.1	15.4	14.8
COG0006	44.1	15.5	40.5	30.6	36.7	67.4	55.5	73.3	10.7	3.9	4.3	3.9	61.6	57.5	66.7	19.1	19.5	16.2
COG0007	19.7	28.5	36.9	122.6	147.0	109.6	80.2	92.8	31.5	4.2	2.5	9.9	32.8	29.5	27.7	11.7	12.1	13.1
COG0008	41.3	31.2	27.4	115.4	105.4	165.6	58.9	105.7	18.6	7.7	7.7	5.7	113.7	58.4	79.5	22.5	31.3	23.3
COG0009	20.0	15.7	19.0	13.5	14.3	42.3	36.1	76.8	11.0	7.1	7.7	5.0	25.1	28.9	32.3	16.3	18.8	15.2
COG0010	5.5	23.7	12.7	36.8	132.3	104.4	33.7	29.8	5.0	4.2	4.3	3.1	55.2	45.5	48.0	13.8	14.1	13.9
COG0011	2.9	3.1	4.9	1.5	0	1.4	8.8	6.1	5.0	1.8	1.0	1.4	3.0	1.0	0	4.0	3.1	3.3
COG0012	29.3	17.6	20.2	33.9	19.6	98.3	41.6	39.1	8.1	3.8	3.1	3.4	62.9	57.2	69.7	15.9	16.0	15.3
COG0013	97.2	39.4	81.7	327.4	446.4	314.3	102.1	87.8	50.8	6.1	6.5	3.9	123.3	90.8	136.2	31.9	33.6	35.9
COG0014	41.3	29.3	34.3	17.4	26.0	47.4	109.6	119.9	8.5	3.7	2.8	2.6	68.7	75.8	107.1	12.0	16.2	14.7
COG0015	57.9	10.7	33.6	30.0	30.6	90.1	50.3	64.6	7.3	3.8	3.6	3.1	80.8	64.2	83.8	11.3	11.2	10.7
COG0016	69.8	22.1	28.7	21.6	23.8	71.5	15.4	34.5	7.8	3.6	3.7	2.2	30.3	41.7	44.6	14.8	15.5	14.1
COG0017	58.0	18.9	17.9	487.5	179.9	6.5	30.2	14.4	12.7	8.7	8.0	7.1	140.2	33.8	85.7	37.1	37.4	39.8
COG0018	59.5	48.4	30.5	35.5	63.3	115.0	41.4	39.5	12.9	5.7	4.9	4.7	81.0	66.8	95.4	22.1	22.4	21.5
COG0019	64.4	17.2	30.9	29.6	43.6	106.1	90.5	69.5	11.0	4.4	3.2	3.4	72.8	64.4	79.6	11.9	16.1	14.2
COG0020	44.1	33.2	14.6	387.0	204.2	192.5	33.0	38.2	28.0	3.1	3.3	3.5	56.4	43.1	49.7	12.4	15.4	12.7
COG0021	50.2	25.0	39.7	63.5	63.9	117.4	51.9	79.5	11.8	5.1	4.6	5.3	130.7	72.9	106.2	17.3	18.1	17.9
COG0022	55.3	12.2	16.8	19.1	17.9	66.4	38.6	65.4	9.8	3.7	6.1	3.4	43.0	49.1	43.7	9.7	12.3	14.4
COG0023	3.9	2.3	5.9	10.8	8.6	24.9	15.1	34.4	3.0	1.5	1.0	1.0	25.5	23.3	23.6	4.8	5.1	4.6
COG0024	31.9	15.4	22.3	106.5	94.4	104.3	27.4	54.2	14.2	4.1	4.0	2.1	36.6	24.5	36.0	14.1	16.1	14.4
COG0025	39.7	25.5	32.4	66.6	103.8	112.4	66.3	69.4	18.3	5.8	5.9	5.7	73.7	69.8	91.3	24.2	26.9	20.3
COG0026	56.3	25.9	16.7	28.9	35.4	75.5	75.2	94.3	14.3	2.1	1.7	2.6	60.2	59.4	70.1	6.4	7.6	7.3
COG0027	73.1	54.7	40.7	83.8	96.4	103.5	59.0	128.4	22.0	1.0	1.7	1.7	68.6	53.2	63.9	9.4	9.5	6.1
COG0028	47.5	41.9	30.4	69.1	88.7	116.1	72.2	93.2	16.4	4.6	4.2	4.5	82.5	62.2	85.6	16.9	20.0	16.3
COG0029	95.6	24.0	41.0	29.8	18.4	113.4	113.3	126.4	16.1	1.6	3.2	1.5	75.4	80.4	103.2	3.7	10.9	4.5
COG0030	50.2	27.5	21.4	231.8	202.8	255.7	49.6	54.3	30.1	4.8	4.2	5.7	69.4	39.8	45.0	15.3	19.4	17.4
COG0031	33.1	17.4	27.9	68.4	62.0	85.1	61.7	92.5	11.9	4.2	4.3	3.7	54.1	55.4	54.1	12.4	14.5	14.1
COG0033	51.6	42.4	13.9	16.6	13.7	69.2	90.0	58.2	11.6	3.6	4.0	3.8	125.8	52.3	100.7	14.2	19.5	16.6
COG0034	31.2	28.0	34.4	32.7	21.3	117.2	67.2	77.4	10.6	3.5	2.7	2.8	88.6	48.9	86.9	19.8	21.2	19.5
COG0035	28.2	10.3	7.0	16.0	13.3	60.9	29.4	30.0	4.5	3.1	2.3	2.2	28.9	36.7	30.5	6.6	8.6	8.2
COG0036	32.8	5.1	20.8	35.4	22.5	151.5	42.2	91.7	7.3	1.7	1.3	1.5	33.1	37.2	30.3	7.9	8.8	8.6
COG0037	32.4	7.5	16.0	24.8	25.4	48.9	57.5	122.8	8.5	4.5	3.2	4.3	55.9	44.6	57.7	18.8	19.4	16.0
COG0038	12.8	23.9	15.8	44.1	50.5	79.8	9.5	11.8	12.3	9.7	10.0	7.5	58.8	52.6	65.7	36.6	35.7	36.7
COG0039	5.7	7.9	7.3	2.4	2.3	26.3	8.5	7.2	9.1	3.4	2.2	2.4	46.0	48.2	73.6	10.3	13.0	10.2
COG0040	39.4	6.1	22.9	17.6	51.3	46.0	24.7	33.5	7.2	3.4	2.8	2.0	35.7	39.6	40.3	10.9	11.8	14.4
COG0041	32.0	26.0	21.7	14.8	20.5	31.7	28.7	89.8	7.4	1.0	1.0	1.3	30.1	20.5	26.5	2.7	3.8	3.0
COG0042	42.4	27.0	20.9	40.0	42.5	81.9	40.8	56.7	12.8	8.2	6.4	7.0	51.6	41.0	53.4	24.4	30.7	26.8
COG0043	68.9	10.1	100.1	53.6	64.5	142.8	112.6	15.9	12.7	1.8	2.8	3.1	140.5	56.5	97.4	11.7	13.2	10.4
COG0044	47.6	10.9	32.5	30.5	32.6	55.5	65.6	73.0	7.3	8.9	4.3	7.7	86.4	54.7	63.8	17.8	23.8	20.9
COG0045	33.5	9.1	16.9	31.4	27.0	69.1	26.1	30.2	12.9	3.0	2.5	2.6	77.0	70.8	56.8	11.0	13.5	12.6
COG0046	10.8	25.6	17.7	6.0	1.0	2.5	5.0	1.0	1.0	2.4	1.7	0	2.0	8.0	1.0	7.1	8.1	12.0
COG0047	0	3.0	1.0	0	0	0	9.0	0	0	2.0	1.0	0	0	0	0	4.5	3.0	5.0
COG0048	11.6	3.1	3.5	5.5	9.2	12.7	4.4	11.7	3.7	3.1	3.4	1.5	29.0	12.7	44.0	8.3	9.3	10.6
COG0049	7.4	3.2	4.6	18.0	13.1	13.5	23.7	27.3	5.5	4.9	3.7	1.5	267.4	36.2	115.7	12.9	13.4	14.8
COG0050	85.2	6.8	15.4	29.9	68.2	115.5	30.6	62.4	18.7	3.5	2.4	3.7	47.4	30.8	46.6	24.7	28.5	26.9
COG0051	99.0	14.9	15.7	130.2	184.1	162.8	18.6	14.7	18.1	2.1	1.6	1.2	43.8	26.3	31.4	4.4	6.3	5.8
COG0052	52.2	26.3	17.5	256.6	354.5	225.5	20.3	15.9	29.3	3.7	2.4	3.4	84.1	45.6	66.4	12.8	14.6	11.8
COG0053	22.2	9.2	10.9	21.0	11.6	29.4	23.4	33.3	9.0	5.1	3.1	2.5	42.6	46.6	55.8	14.6	18.5	16.2
COG0054	20.8	4.8	13.0	16.2	8.9	46.3	30.3	67.1	5.2	2.0	1.7	1.6	24.2	20.9	23.6	4.8	6.1	4.4
COG0055	41.0	5.8	11.4	46.7	31.9	181.6	16.7	20.5	18.8	4.1	2.0	4.5	143.3	48.6	29.9	29.1	38.8	41.6
COG0056	145.1	57.6	36.4	273.5	296.8	231.7	40.6	65.6	30.0	7.2	6.5	8.0	100.5	91.7	192.1	32.3	40.4	41.3
COG0057	32.4	23.3	19.5	33.3	43.0	110.1	44.1	98.9	7.1	3.5	2.0	2.5	71.7	57.4	69.9	10.6	10.3	11.4
COG0058	126.4	22.0	41.9	163.0	150.8	186.9	82.7	111.9	19.1	3.6	3.1	2.3	134.4	119.2	179.3	9.6	17.6	14.9
COG0059	26.2	4.1	13.3	25.3	26.3	50.4	18.4	25.5	12.4	2.2	2.9	2.7	198.8	100.1	213.3	17.9	28.5	22.9
COG0060	14.0	35.9	28.4	34.0	18.0	189.3	28.1	47.2	20.3	4.8	4.3	6.3	162.5	137.0	172.2	23.2	28.6	28.6
COG0061	27.3	21.9	21.7	97.4	88.8	84.4	26.8	33.1	16.4	9.0	6.7	6.2	34.7	40.4	38.4	25.4	29.4	25.4
COG0062	5.7	4.2	10.7	1.0	1.0	2.0	10.6	1.9	4.3	4.0	7.4	9.0	0	0	0	34.0	41.6	22.0
COG0063	86.5	3.1	21.7	12.3	3.0	62.0	4.8	9.7	8.5	2.6	4.0	5.9	79.5	35.4	21.9	10.5	15.6	9.5
COG0064	35.1	5.4	25.3	37.1	17.3	132.2	13.2	37.5	5.9	5.0	4.3	4.1	101.7	53.7	54.5	17.9	18.4	16.9
COG0065	59.8	43.8	24.7	19.0	34.3	67.3	125.7	273.2	10.9	2.4	1.9	2.0	54.4	64.1	80.0	12.1	11.6	12.1
COG0066	18.5	16.6	6.8	17.3	9.0	71.7	58.9	191.1	7.4	1.4	1.0	2.0	19.1	27.4	28.8	6.0	5.1	8.7
COG0068	0	0	0	0	75.0	20.7	0	0	0	0	2.0	1.0	74.5	233.8	65.4	0	2.0	4.0
COG0069	110.8	24.4	55.0	38.4	13.8	60.4	123.3	68.4	19.7	1.3	2.0	2.8	111.3	81.2	99.8	4.4	8.5	11.0
COG0070	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
COG0071	10.0	25.0	16.4	12.1	10.7	8.0	61.0	92.8	8.3	2.0	1.2	1.0	15.5	15.0	19.0	3.3	3.5	4.7
COG0072	3.0	6.9	5.0	1.9	2.8	2.1	10.2	15.3	8.1	5.6	5.4	8.5	0	0	2.0	22.4	23.3	24.3
COG0073	4.2	6.9	4.9	2.0	1.0	5.8	7.2	30.8	7.5	8.8	7.1	4.5	2.0	6.6	2.0	39.8	31.2	23.2
COG0074	60.0	23.3	18.4	16.9	13.9	107.9	8.6	13.6	10.3	2.5	1.7	2.6	33.2	23.6	40.9	9.5	10.8	10.7
COG0075	7.7	32.7	16.8	22.3	11.3	20.9	91.8	79.7	5.7	5.0	3.7	3.6	57.9	66.2	79.7	21.9	25.2	20.1
COG0076	16.8	26.4	21.9	72.9	84.6	50.4	25.8	11.7	13.5	6.3	5.3	4.9	49.8	44.6	42.9	18.9	23.2	19.9
COG0077	4.8	13.3	13.2	1.7	2.0	3.1	10.7	13.8	7.0	8.2	5.4	10.6	1.7	29.8	0	14.8	19.5	17.2
COG0078	67.2	37.9	14.0	28.0	21.0	77.4	56.8	49.5	6.3	2.4	2.6	3.1	63.4	53.2	67.9	8.1	10.0	8.8
COG0079	47.0	23.5	26.7	51.0	107.1	58.6	65.1	82.7	13.0	2.9	3.5	2.4	44.1	39.1	39.2	10.5	11.7	12.3
COG0080	18.4	7.4	16.7	24.0	20.8	54.9	10.9	15.7	5.8	2.2	3.3	1.7	32.2	28.1	32.6	4.6	6.1	6.1
COG0081	52.8	3.8	19.0	47.4	14.5	88.3	5.6	3.3	9.8	2.0	3.3	1.9	97.1	36.2	60.4	9.2	13.3	9.0
