	Stage	Plant	Genus	MF
RG1	Germiation	Radish	4.095548022	8.346706364
RG2	Germiation	Radish	4.101699457	8.355565332
RG3	Germiation	Radish	3.786213398	8.366269169
RP1	Seedling	Radish	1.68658608	8.060067343
RP2	Seedling	Radish	1.66049577	8.106349028
RP3	Seedling	Radish	1.688331826	8.089424994
RS1	Seed	Radish	4.369461472	8.429378951
RS2	Seed	Radish	4.341324461	8.387208059
RS3	Seed	Radish	4.280622581	8.448859617
BG1	Germiation	Bean	1.734527363	7.759327935
BG2	Germiation	Bean	1.902037535	8.133163862
BG3	Germiation	Bean	2.319159347	8.163784576
BP1	Seedling	Bean	0.960980832	7.123378105
BP2	Seedling	Bean	1.067959458	7.333969176
BP3	Seedling	Bean	1.418056198	7.723967865
BS1	Seed	Bean	1.977514178	8.090700292
BS2	Seed	Bean	1.105145521	7.829169719
BS3	Seed	Bean	2.157973692	7.96454367
