Genus_id	Kingdom	Phylum	Class	Order	Family	Genus
COG0001	Bacteria	Tenericutes	H	H	H	H
COG0002	Bacteria	Tenericutes	E	E	E	E
COG0003	Bacteria	Actinobacteria	P	P	P	P
COG0004	Bacteria	Proteobacteria	P	P	P	P
COG0005	Bacteria	Proteobacteria	F	F	F	F
COG0006	Bacteria	Proteobacteria	E	E	E	E
COG0007	Bacteria	Firmicutes	H	H	H	H
COG0008	Bacteria	Firmicutes	J	J	J	J
COG0009	Bacteria	Firmicutes	J	J	J	J
COG0010	Bacteria	Firmicutes	E	E	E	E
COG0011	Bacteria	Firmicutes	S	S	S	S
COG0012	Bacteria	Firmicutes	J	J	J	J
COG0013	Bacteria	Firmicutes	J	J	J	J
COG0014	Bacteria	Bacteroidetes	E	E	E	E
COG0015	Bacteria	Actinobacteria	F	F	F	F
COG0016	Bacteria	Proteobacteria	J	J	J	J
COG0017	Bacteria	Proteobacteria	J	J	J	J
COG0018	Bacteria	Proteobacteria	J	J	J	J
COG0019	Bacteria	Proteobacteria	E	E	E	E
COG0020	Bacteria	Proteobacteria	I	I	I	I
COG0021	Bacteria	Proteobacteria	G	G	G	G
COG0022	Bacteria	Proteobacteria	C	C	C	C
COG0023	Bacteria	Proteobacteria	J	J	J	J
COG0024	Bacteria	Proteobacteria	J	J	J	J
COG0025	Bacteria	Proteobacteria	P	P	P	P
COG0026	Bacteria	Proteobacteria	F	F	F	F
COG0027	Bacteria	Proteobacteria	F	F	F	F
COG0028	Bacteria	Proteobacteria	E	E	E	E
COG0029	Bacteria	Proteobacteria	H	H	H	H
COG0030	Bacteria	Proteobacteria	J	J	J	J
COG0031	Bacteria	Proteobacteria	E	E	E	E
COG0033	Bacteria	Proteobacteria	G	G	G	G
COG0034	Bacteria	Proteobacteria	F	F	F	F
COG0035	Bacteria	Proteobacteria	F	F	F	F
COG0036	Bacteria	Proteobacteria	G	G	G	G
COG0037	Bacteria	Proteobacteria	D	D	D	D
COG0038	Bacteria	Proteobacteria	P	P	P	P
COG0039	Bacteria	Actinobacteria	C	C	C	C
COG0040	Bacteria	Proteobacteria	E	E	E	E
COG0041	Bacteria	Proteobacteria	F	F	F	F
COG0042	Bacteria	Proteobacteria	J	J	J	J
COG0043	Bacteria	Proteobacteria	H	H	H	H
COG0044	Bacteria	Proteobacteria	F	F	F	F
COG0045	Bacteria	Chlamydiae	C	C	C	C
COG0046	Bacteria	Proteobacteria	F	F	F	F
COG0047	Bacteria	Proteobacteria	F	F	F	F
COG0048	Bacteria	Cyanobacteria	J	J	J	J
COG0049	Bacteria	Armatimonadetes	J	J	J	J
COG0050	Bacteria	Actinobacteria	J	J	J	J
COG0051	Bacteria	Actinobacteria	J	J	J	J
COG0052	Bacteria	Actinobacteria	J	J	J	J
COG0053	Bacteria	Actinobacteria	P	P	P	P
COG0054	Bacteria	Actinobacteria	H	H	H	H
COG0055	Bacteria	Actinobacteria	C	C	C	C
COG0056	Bacteria	Actinobacteria	C	C	C	C
COG0057	Bacteria	Bacteroidetes	G	G	G	G
COG0058	Bacteria	Bacteroidetes	G	G	G	G
COG0059	Bacteria	Bacteroidetes	E	E	E	E
COG0060	Bacteria	Deinococcus-Thermus	J	J	J	J
COG0061	Bacteria	Proteobacteria	G	G	G	G
COG0062	Bacteria	Proteobacteria	G	G	G	G
COG0063	Bacteria	Proteobacteria	G	G	G	G
COG0064	Archaea	Crenarchaeota	J	J	J	J
COG0065	Bacteria	Proteobacteria	E	E	E	E
COG0066	Bacteria	Proteobacteria	E	E	E	E
COG0068	Bacteria	Proteobacteria	O	O	O	O
COG0069	Bacteria	Proteobacteria	E	E	E	E
COG0070	Bacteria	Proteobacteria	E	E	E	E
COG0071	Bacteria	Proteobacteria	O	O	O	O
COG0072	Bacteria	Proteobacteria	J	J	J	J
COG0073	Bacteria	Proteobacteria	J	J	J	J
COG0074	Bacteria	Proteobacteria	C	C	C	C
COG0075	Bacteria	Proteobacteria	E	E	E	E
COG0076	Bacteria	Proteobacteria	E	E	E	E
COG0077	Bacteria	Proteobacteria	E	E	E	E
COG0078	Bacteria	Proteobacteria	E	E	E	E
COG0079	Bacteria	Proteobacteria	E	E	E	E
COG0080	Bacteria	Proteobacteria	J	J	J	J
COG0081	Bacteria	Proteobacteria	J	J	J	J
COG0082	Bacteria	Proteobacteria	E	E	E	E
COG0083	Bacteria	Proteobacteria	E	E	E	E
COG0084	Bacteria	Proteobacteria	L	L	L	L
COG0085	Bacteria	Tenericutes	K	K	K	K
COG0086	Bacteria	Bacteroidetes	K	K	K	K
COG0087	Bacteria	Bacteroidetes	J	J	J	J
COG0088	Bacteria	Bacteroidetes	J	J	J	J
COG0089	Bacteria	Bacteroidetes	J	J	J	J
COG0090	Bacteria	Actinobacteria	J	J	J	J
COG0091	Bacteria	Actinobacteria	J	J	J	J
COG0092	Bacteria	Actinobacteria	J	J	J	J
COG0093	Bacteria	Actinobacteria	J	J	J	J
COG0094	Bacteria	Actinobacteria	J	J	J	J
COG0095	Archaea	Euryarchaeota	H	H	H	H
COG0096	Bacteria	Actinobacteria	J	J	J	J
COG0097	Bacteria	Firmicutes	J	J	J	J
COG0098	Bacteria	Firmicutes	J	J	J	J
COG0099	Bacteria	Firmicutes	J	J	J	J
COG0100	Bacteria	Firmicutes	J	J	J	J
COG0101	Archaea	Euryarchaeota	J	J	J	J
COG0102	Archaea	Euryarchaeota	J	J	J	J
COG0103	Archaea	Euryarchaeota	J	J	J	J
COG0104	Bacteria	Actinobacteria	F	F	F	F
COG0105	Bacteria	Actinobacteria	F	F	F	F
COG0106	Bacteria	Actinobacteria	E	E	E	E
COG0107	Bacteria	Actinobacteria	E	E	E	E
COG0108	Bacteria	Actinobacteria	H	H	H	H
