Genus_id	BG1	BG2	BG3	BP1	BP2	BP3	BS1	BS2	BS3	RG1	RG2	RG3	RP1	RP2	RP3	RS1	RS2	RS3
Acaryochloris	2697	3620	4500	142	445	136	218	103	474	3	3	2	0	0	0	15	13	18
Acetobacter	367	331	309	217	362	254	112	64	126	300	304	294	126	106	135	43	41	49
Achromobacter	7379	2397	1962	3716	5590	8778	4445	4418	8008	1523	1013	1504	5954	5575	4294	2654	3654	3178
Acidimicrobidae	47	117	118	18	38	30	620	382	684	235	140	74	35	22	23	1567	1866	2154
Acidiphilium	83	102	137	80	102	489	635	474	575	102	85	41	147	189	185	703	880	931
Acidovorax	1192	629	1143	1238	1365	5857	4997	3023	5883	419	329	188	2048	1917	1890	2762	3767	3741
Acinetobacter	333	424	227	1386	571	2129	1993	281210	3341	631	333	720	1396	4349	4692	5338	4753	5789
Actinoplanes	418	573	731	851	602	1392	3328	2028	3013	1038	672	448	298	289	267	8047	9866	11624
Actinosynnema	77	123	140	296	74	247	641	367	589	200	182	82	69	74	64	1696	2166	2659
Aeromonas	1585	951	1279	7418	7508	10698	2599	1572	1513	132	91	74	3250	1774	3118	663	926	942
Agrobacterium	787	1260	1807	847	1442	2516	14229	7168	70292	307	220	140	709	1090	620	2871	3931	4053
Agromonas	189	156	211	501	483	931	1033	799	1042	109	76	55	185	194	204	894	1102	1103
Alicycliphilus	262	155	271	313	266	1854	1222	723	1607	147	100	60	578	634	554	821	1196	1072
Alteromonas	1283	1344	541	2129	3631	1119	782	878	645	368	242	624	798	192	510	287	281	298
Amycolatopsis	137	311	348	685	674	878	1519	876	1482	540	336	216	265	142	239	5049	5490	6751
Anabaena	3357	3900	4287	234	907	329	501	228	694	1097	1280	608	105	83	121	203	253	225
Anaerobaculum	1378	2155	2390	93	367	110	187	116	376	650	720	291	39	42	69	84	66	81
Anaeromyxobacter	127	186	252	128	104	417	1345	891	1323	327	234	131	132	138	151	2781	3288	3675
Arthrobacter	764	1483	1566	556	750	964	8362	5141	8291	3799	2753	1833	387	340	402	30809	34963	46346
Arthrospira	5434	5228	5995	277	1099	290	370	203	864	705	816	261	51	47	74	64	65	72
Aster	139	225	221	10	41	17	71	35	77	203	160	354	104	93	79	22	37	30
Atopobium	1437	1629	1830	73	321	92	150	67	300	262	262	119	10	17	17	47	60	59
Azoarcus	385	165	363	539	641	2122	1378	1205	1037	239	178	117	1245	1270	1310	1333	1681	1791
Azorhizobium	123	125	138	269	206	916	664	597	806	67	59	41	179	179	193	735	1041	999
Azospirillum	1173	671	907	1197	1329	3981	2305	2252	2481	723	572	488	1099	1069	1060	3055	4142	4099
Azotobacter	4279	780	1581	6376	4220	32541	2365	5234	744	137	77	112	4490	4390	3837	615	737	799
Bacillus	147551	459803	286552	23419	24924	37652	5768	4768	6991	35004	23858	15200	15424	6460	3678	10938	12413	12764
Beutenbergia	69	151	170	8	15	20	819	496	1185	233	151	87	14	22	24	1969	2424	2880
Bifidobacterium	78	107	126	231	110	292	589	288	598	137	83	62	70	109	148	1052	1347	1515
Blastococcus	151	276	368	51	36	146	1300	611	1048	514	394	235	42	37	18	4803	6094	6474
Bordetella	1128	422	533	1618	1795	4898	1715	1342	2444	353	228	163	2157	2091	2057	1476	1998	1974
Borrelia	3229	4371	5162	191	745	219	436	235	781	920	999	721	155	128	130	169	187	195
Brachybacterium	106	162	164	28	25	138	880	547	839	302	220	129	22	32	27	2830	3318	4589
Brachyspira	135	170	166	20	21	8	116	97	90	162	131	199	92	44	60	82	143	110
Bradyrhizobium	734	930	1115	740	870	2843	6487	4975	7070	644	413	280	809	787	949	5282	6628	6728
Brevibacillus	307	334	324	23	66	23	233	150	207	731	628	923	177	134	162	241	282	297
Brevundimonas	74	157	229	44	56	188	1088	654	1891	112	74	54	322	140	157	1388	2955	2102
Buchnera	1895	2391	2368	229	513	184	953	766	1299	3050	2425	4415	1647	771	1136	1852	2354	2285
Burkholderia	6292	3354	5333	10285	13125	26524	14181	12646	9983	2088	1625	1057	14482	13010	14096	9791	12741	13153
Caldicellulosiruptor	99	130	132	16	31	24	97	67	82	237	198	360	65	74	72	83	100	87
Cardinium	2700	2828	3562	95	402	123	211	146	499	616	677	272	45	32	67	64	62	57
Carnobacterium	27	45	29	1	4	12	162	139	183	411	285	191	41	21	15	9143	4198	5825
Carsonella	2244	2964	2920	279	933	194	1169	1080	1309	3687	2961	4876	1640	1068	1442	631	735	733
Catenulispora	132	117	152	29	91	157	765	412	775	285	171	122	70	64	95	2262	2693	3515
Caulobacter	382	360	531	574	588	2449	2245	1715	2868	357	244	209	680	2901	635	2492	3838	3270
Cellulomonas	161	347	424	30	31	104	1891	952	2008	486	328	240	44	38	42	4255	5280	6311
Cellvibrio	304	169	249	166	212	654	855	498	1922	240	150	108	224	228	217	1809	2192	2608
Chromobacterium	407	130	194	640	748	2730	749	543	395	111	66	34	989	860	909	494	615	664
Chthonomonas	77	81	67	7	41	10	19	12	17	482	500	483	128	158	208	55	41	43
Citrobacter	5120	4792	20595	43864	53885	44348	8690	845	7254	147	138	153	19805	7553	19561	852	1668	1139
Clavibacter	386	999	1186	72	56	189	6014	2729	4950	534	365	274	47	78	62	6911	7854	9138
Collimonas	440	261	367	1250	1749	2487	1429	1017	1062	704	553	684	3356	3019	3348	921	1276	1296
Comamonas	178	66	194	342	459	1542	561	513	835	61	33	24	408	370	422	336	495	517
Conexibacter	180	402	464	50	54	76	2219	1304	1924	794	547	337	46	45	47	8213	9698	10770
Corallococcus	109	141	142	165	617	349	699	425	612	90	67	35	103	61	77	797	1046	1161
Corynebacterium	245	235	347	272	264	1148	1614	938	1477	476	309	204	312	188	217	3637	4198	5017
Crinalium	2519	2734	3409	93	331	119	396	269	602	530	596	244	45	57	50	60	53	72
Croceibacter	304	310	301	29	144	25	43	30	136	720	636	687	218	302	244	65	65	92
Cronobacter	8862	8932	20151	80177	100318	68956	15237	1160	15476	214	177	275	34023	14092	31512	979	3139	1372
Cupriavidus	1098	354	581	2715	2629	5567	1875	2116	1663	351	233	173	2977	2429	2536	1493	1953	1962
cyanobacterium	25	41	35	0	17	2	64	51	79	699	811	420	74	42	51	63	52	58
Deinococcus	220	151	226	598	695	1340	795	528	814	188	108	72	323	324	365	1315	1614	1947
Delftia	805	384	714	739	979	4926	3011	8676	17719	186	132	79	1123	28288	943	1252	1758	1651
Desulfobacula	726	453	543	61	266	104	33	23	70	1301	1181	1124	336	416	486	62	61	46
Desulfovibrio	499	184	371	710	696	2170	844	449	864	181	100	90	606	423	496	1209	1519	1502
Dickeya	5807	5997	8016	48700	61948	40077	9738	1111	8689	156	171	269	25525	8357	19291	789	2209	1172
Dyadobacter	94	55	96	38	43	66	502	401	927	42	18	15	36	23	31	320	636	437
Edwardsiella	1479	1958	2092	12545	19421	12848	3776	327	3661	78	55	69	6802	3006	5842	446	906	561
Ehrlichia	70	50	65	3	20	4	43	79	60	176	150	255	69	45	66	74	77	75
Enterobacter	25615	26078	139418	233821	380014	480658	53162	16541	40752	1012	941	1117	134369	44689	146236	7996	11182	9370
Enterobacteriaceae	2225	2423	11998	20868	23552	22648	4665	846	3346	64	70	109	11983	3732	10557	356	740	399
Enterococcus	27	332	71	95	90	99	370	294	509	113	115	48	16	52	27	1532	1633	2107
Erwinia	21563	23919	18705	189560	270720	150072	124846	2230	36123	1194	554	948	110253	34251	74858	2474	9144	3697
Erythrobacter	340	378	425	48	151	136	805	493	845	134	71	55	148	72	72	1070	1297	1356
Escherichia	8274	9801	17620	58181	56333	44668	9367	1257	9067	2477	2166	3807	26076	9668	22028	1624	2859	2123
Exiguobacterium	53	111	113	10	24	19	846	581	760	2369	2715	2012	50794	42266	21279	10204	12276	14498
Flavobacteriaceae	34	40	28	2	1	1	949	254	1614	55	43	40	87	34	31	444	567	1542
Flavobacterium	281	342	344	53	109	12	3745	2617	4574	271	175	167	61	59410	37	1283	1771	1840
Frankia	297	381	508	123	261	371	2416	1391	2213	824	551	321	181	170	175	6451	7788	9214
Geobacillus	2214	3265	3891	166	606	243	432	341	604	354	336	270	124	105	103	902	1093	1129
Geobacter	201	170	307	335	411	1243	803	725	720	184	128	73	337	366	445	1270	1541	1691
Geodermatophilus	151	359	381	45	55	136	1531	931	1198	585	348	241	38	58	33	5007	6063	6666
Gordonia	159	207	272	308	288	729	1202	574	1101	290	262	156	138	120	145	2629	3107	3948
Haemophilus	207	814	336	281	838	256	433	384	463	282	236	359	651	201	421	508	664	607
Haliangium	112	184	189	165	139	618	776	503	616	286	200	133	172	186	159	1872	2463	2296
Halothece	979	531	587	45	216	49	59	28	138	893	1007	721	130	118	176	46	39	43
Hamiltonella	300	299	245	753	532	1048	44	25	188	285	311	268	194	167	172	82	105	110
Helicobacter	299	399	415	40	72	125	327	196	273	545	457	779	244	196	229	204	277	219
Herbaspirillum	579	233	399	1420	2206	5114	1499	859	1143	476	359	176	3939	3768	3904	1067	1472	1501
Herminiimonas	250	144	88	766	1000	866	314	149	420	109	74	36	953	752	859	248	323	329
Hirschia	278	289	294	24	116	24	40	22	47	646	569	581	344	241	293	49	45	35
Hodgkinia	15	18	24	2	7	3	60	44	29	208	186	280	108	63	93	56	84	55
Hyphomicrobium	171	255	297	286	515	348	1539	1193	1623	212	152	75	187	190	274	1695	2072	2279
Intrasporangium	107	235	286	14	23	35	1491	709	1269	780	508	320	18	9	10	5105	5627	7877
Isoptericola	119	198	210	26	75	93	1056	479	1122	280	194	120	16	31	40	2433	3043	3764
Janthinobacterium	123	112	144	148	308	476	579	525	496	103	64	38	927	757	837	224	303	309
Ketogulonicigenium	90	66	102	86	257	199	393	268	5035	35	22	11	147	77	128	221	289	339
Kineococcus	142	252	331	27	21	157	1368	696	1170	298	176	123	46	58	16	2336	2872	3484
Kitasatospora	58	143	171	57	48	132	770	392	682	267	191	116	52	67	40	2307	2659	3087
Klebsiella	10062	12378	30767	89563	111440	103701	20063	1962	19371	319	285	345	39014	17316	38047	1668	3800	2284
Kocuria	37	102	96	54	10	136	374	220	421	270	161	150	16	15	28	1552	1937	2391
Kribbella	138	256	316	47	43	140	1530	912	1323	754	465	316	55	51	47	6324	7221	9210
Kytococcus	47	91	106	8	12	58	521	247	506	173	86	72	20	23	22	1435	1607	2148
Lactococcus	154	264	271	14	31	11	183	300	199	251	217	299	78	62	46	1829	1932	5672
Lawsonia	207	273	267	14	23	18	172	106	147	442	370	731	200	122	215	182	236	202
Leifsonia	80	233	283	18	16	34	1562	746	1574	215	128	107	14	23	16	2077	2517	3134
Leptospira	267	365	353	32	66	24	228	148	207	545	448	792	184	124	151	132	206	136
Leptothrix	156	194	337	526	548	1461	1360	1110	1572	220	152	88	883	897	1049	1180	1483	1505
Magnetospirillum	194	170	233	803	727	1375	815	575	794	140	86	66	261	297	282	976	1229	1157
Mesorhizobium	584	629	843	906	1159	2547	4345	3292	4998	685	486	314	696	761	696	6193	8308	8242
Methylibium	181	228	336	151	234	848	1495	1104	1775	193	138	67	573	569	599	1134	1430	1338
Methylobacterium	3660	8050	10187	1556	1589	6491	42357	25087	42369	986	721	539	1473	1235	1266	7491	9306	9972
Microbacterium	252	617	831	39	39	93	4058	1898	4838	378	278	149	20	45	33	4046	5039	6168
Micrococcus	73	103	110	28	14	106	557	314	557	192	143	120	24	23	9	1559	1934	2262
Microcystis	6113	7486	8659	303	1281	373	443	280	1133	418	511	244	107	43	82	65	70	69
Microlunatus	52	113	179	22	27	51	757	396	692	216	153	135	35	22	28	1782	2113	2633
Micromonospora	65	173	196	20	30	104	872	661	799	425	300	181	70	85	79	2903	3757	4485
Modestobacter	179	369	493	25	14	106	1761	894	1418	526	341	208	63	43	41	4435	5394	6081
Mycobacterium	1028	1777	2329	934	1125	2383	10237	6487	9879	3305	2189	1466	856	760	800	26879	31109	37294
Mycoplasma	5337	5872	5938	526	1553	381	2984	2168	3056	8083	6995	11626	3201	2147	2866	2216	3493	2282
Myxococcus	164	153	291	169	63	746	1398	1303	1319	225	143	65	173	160	200	1908	2249	2594
Nakamurella	113	119	207	79	38	327	852	466	781	228	136	90	38	42	48	1697	1910	2589
Neisseria	6088	7385	7402	643	1721	823	7215	6476	6679	19319	16652	33346	7830	5466	6476	9779	11524	9311
Nitrobacter	123	185	184	76	59	210	1357	972	1371	206	155	71	125	102	116	1786	1927	2108
Nitrosococcus	69	43	46	174	141	187	105	58	85	761	861	331	172	107	189	128	164	163
Nocardia	172	231	284	121	192	525	1478	996	1338	469	346	192	244	157	197	3863	4570	5590
Nocardioides	392	917	1061	77	31	230	4931	2918	4418	2360	1605	1095	57	48	27	22304	25114	31983
Nocardiopsis	127	223	272	63	72	324	1301	679	1119	447	250	150	128	80	74	3588	4993	5257
Nostoc	2443	2983	3202	152	574	181	682	402	768	1552	1714	1039	242	228	239	260	305	322
Novosphingobium	340	365	525	254	219	850	2335	1513	2472	280	194	128	394	259	299	2297	3201	3028
Oscillatoria	3474	5012	6001	184	960	242	811	551	1195	751	833	403	207	135	200	484	460	549
Paenibacillus	1932	1837	1912	270	623	15589	638	867	613	514	551	447	909	713	1369	912	1080	1181
Pandoraea	295	80	163	556	698	1237	540	984	471	99	76	39	845	709	830	412	538	573
Pantoea	1006116	925213	449750	8769147	9836459	6217648	699613	44952	1485756	7566	11563	11393	1519210	957876	1560839	15187	54396	28491
Parachlamydia	106	126	125	11	38	20	130	131	144	259	218	398	92	61	98	89	127	102
Paracoccus	315	276	412	773	380	1782	2001	1099	2500	253	179	126	247	344	307	1925	2605	3382
Pectobacterium	4683	5256	7779	38951	50929	29770	8174	1072	6200	172	170	275	26888	7210	17327	973	2213	1267
Pedobacter	64	85	51	172	134	192	668	473	1167	50	41	14	16	229	10	353	545	619
Phenylobacterium	80	151	203	126	96	751	966	676	1158	196	133	63	190	230	179	1649	2384	2094
Phytoplasma	566	774	907	46	81	45	235	191	327	777	538	1217	395	310	380	105	116	105
Plautia	15077	14172	8798	132282	162818	98880	18507	1121	23046	276	313	610	66453	21460	48844	624	3478	1686
Polaromonas	564	350	437	1070	1694	2976	1721	1622	2114	213	144	79	1478	1234	1344	1139	1638	1581
Polymorphum	138	112	143	163	100	725	855	540	969	134	120	68	126	168	173	1266	1606	1611
Prevotella	81	54	66	28	57	58	119	76	152	338	274	467	177	172	182	224	261	255
Prochlorococcus	40	37	33	65	11	63	38	32	65	549	709	416	54	57	62	79	83	98
Propionibacterium	368	388	403	161	355	562	1400	874	1326	496	416	559	88	106	61	4219	4936	5834
