time	blank	R4_P.aggl1	R4_P.aggl2	R4_P.aggl3	R10_Erwinia1	R10_Erwinia2	R10_Erwinia3	R19_enterobacter1	R19_enterobacter2	R19_enterobacter3	R27_Rahnella1	R27_Rahnella2	R27_Rahnella3	H3_Paggl1	H3_Paggl2	H3_Paggl3	H19_Staph1	H19_Staph2	H19_Staph3	H13_Carnoba1	H13_Carnoba2	H13_Carnoba3	Asv1_Sangui1	Asv1_Sangui2	Asv1_Sangui3
0	0.113	0.117	0.107	0.107	0.122	0.118	0.114	0.114	0.116	0.122	0.103	0.103	0.117	0.131	0.124	0.141	0.132	0.145	0.117	0.127	0.115	0.127	0.147	0.128	0.132
2.0008	0.086	0.111	0.104	0.11	0.117	0.105	0.108	0.104	0.091	0.103	0.094	0.09	0.089	0.104	0.097	0.11	0.111	0.104	0.093	0.106	0.1	0.106	0.108	0.104	0.107
4.0008	0.079	0.118	0.117	0.11	0.126	0.131	0.12	0.111	0.107	0.107	0.109	0.102	0.102	0.101	0.099	0.118	0.115	0.106	0.096	0.113	0.099	0.108	0.103	0.1	0.112
6.0006	0.087	0.134	0.127	0.127	0.18	0.175	0.171	0.13	0.133	0.123	0.166	0.141	0.148	0.127	0.127	0.143	0.11	0.102	0.095	0.109	0.106	0.107	0.116	0.11	0.119
8.0011	0.088	0.193	0.179	0.182	0.283	0.286	0.27	0.213	0.23	0.22	0.276	0.246	0.243	0.2	0.2	0.217	0.114	0.105	0.099	0.111	0.109	0.109	0.135	0.128	0.138
10.0006	0.088	0.318	0.302	0.284	0.373	0.378	0.365	0.307	0.327	0.314	0.358	0.336	0.332	0.332	0.318	0.318	0.117	0.108	0.104	0.113	0.113	0.113	0.165	0.159	0.168
12.0008	0.091	0.441	0.421	0.417	0.412	0.412	0.414	0.397	0.413	0.407	0.397	0.395	0.4	0.444	0.449	0.468	0.126	0.118	0.114	0.119	0.127	0.124	0.204	0.193	0.209
14.0011	0.094	0.528	0.527	0.498	0.472	0.475	0.478	0.47	0.482	0.475	0.435	0.406	0.41	0.514	0.535	0.549	0.129	0.12	0.124	0.121	0.139	0.133	0.225	0.215	0.229
16.0006	0.098	0.587	0.591	0.563	0.533	0.524	0.547	0.591	0.602	0.601	0.492	0.453	0.466	0.59	0.595	0.613	0.147	0.149	0.14	0.129	0.167	0.153	0.195	0.191	0.228
18.0006	0.097	0.633	0.646	0.614	0.619	0.624	0.645	0.631	0.633	0.631	0.543	0.499	0.514	0.623	0.633	0.651	0.153	0.164	0.16	0.143	0.207	0.194	0.202	0.196	0.275
20.0011	0.098	0.754	0.766	0.689	0.754	0.74	0.758	0.649	0.654	0.655	0.63	0.582	0.617	0.744	0.771	0.726	0.182	0.197	0.188	0.16	0.247	0.23	0.22	0.203	0.348
22.0008	0.088	0.73	0.717	0.734	0.852	0.844	0.859	0.675	0.668	0.674	0.625	0.649	0.669	0.858	0.769	0.654	0.217	0.232	0.231	0.194	0.292	0.281	0.235	0.221	0.482
24.0006	0.102	0.694	0.68	0.696	0.911	0.908	0.915	0.693	0.686	0.679	0.63	0.621	0.698	0.809	0.685	0.586	0.252	0.269	0.236	0.229	0.308	0.307	0.246	0.233	0.656
26.0011	0.105	0.699	0.703	0.7	0.94	0.934	0.941	0.704	0.699	0.697	0.609	0.655	0.726	0.746	0.681	0.597	0.295	0.324	0.311	0.278	0.32	0.329	0.284	0.273	0.811
28.0006	0.106	0.72	0.713	0.708	0.955	0.951	0.954	0.698	0.69	0.688	0.636	0.678	0.806	0.732	0.701	0.696	0.343	0.376	0.362	0.298	0.31	0.327	0.31	0.31	0.903
30.0006	0.106	0.715	0.701	0.703	0.97	0.964	0.971	0.676	0.67	0.668	0.705	0.783	0.8	0.696	0.766	0.928	0.391	0.425	0.41	0.298	0.313	0.321	0.334	0.337	0.97
32.0011	0.107	0.749	0.716	0.777	0.995	0.989	0.998	0.667	0.637	0.656	0.802	0.8	0.795	0.692	0.779	0.918	0.439	0.469	0.457	0.288	0.328	0.337	0.367	0.369	1.019
34.0006	0.105	0.859	0.805	0.769	1.026	1.017	1.026	0.717	0.698	0.703	0.818	0.794	0.79	0.664	0.74	0.89	0.477	0.5	0.493	0.287	0.334	0.355	0.401	0.404	1.063
36.0006	0.107	0.837	0.84	0.822	1.054	1.043	1.054	0.724	0.721	0.724	0.81	0.789	0.786	0.635	0.84	0.855	0.496	0.51	0.513	0.289	0.334	0.362	0.442	0.443	1.107
38.0011	0.107	0.831	0.832	0.817	1.079	1.067	1.082	0.723	0.718	0.723	0.807	0.789	0.782	0.678	0.851	0.864	0.452	0.501	0.509	0.292	0.334	0.365	0.48	0.484	1.127
40.0006	0.106	0.829	0.828	0.814	1.108	1.095	1.114	0.723	0.717	0.72	0.802	0.783	0.778	0.674	0.848	0.862	0.349	0.475	0.48	0.295	0.335	0.369	0.515	0.521	1.148
