time	blank	R4_P.aggl1	R4_P.aggl2	R4_P.aggl3	R10_Erwinia1	R10_Erwinia2	R10_Erwinia3	R19_enterobacter1	R19_enterobacter2	R19_enterobacter3	R27_Rahnella1	R27_Rahnella2	R27_Rahnella3	H3_Paggl1	H3_Paggl2	H3_Paggl3	H19_Staph1	H19_Staph2	H19_Staph3	H13_Carnoba1	H13_Carnoba2	H13_Carnoba3	Asv1_Sangui1	Asv1_Sangui2	Asv1_Sangui3
0	0.134	0.145	0.141	0.137	0.144	0.139	0.145	0.134	0.14	0.144	0.146	0.129	0.134	0.141	0.152	0.146	0.134	0.125	0.126	0.13	0.143	0.143	0.139	0.137	0.149
2.0008	0.096	0.12	0.119	0.122	0.124	0.131	0.117	0.117	0.109	0.109	0.113	0.106	0.099	0.109	0.101	0.101	0.111	0.099	0.099	0.104	0.102	0.107	0.103	0.098	0.116
4.0008	0.101	0.14	0.134	0.132	0.14	0.128	0.131	0.124	0.119	0.119	0.125	0.118	0.113	0.121	0.114	0.114	0.109	0.094	0.096	0.103	0.105	0.111	0.106	0.094	0.105
6.0006	0.097	0.162	0.158	0.16	0.162	0.155	0.152	0.139	0.129	0.128	0.146	0.141	0.138	0.138	0.136	0.131	0.109	0.1	0.101	0.113	0.103	0.11	0.102	0.099	0.112
8.0011	0.098	0.215	0.209	0.21	0.208	0.199	0.199	0.165	0.168	0.165	0.199	0.195	0.191	0.177	0.175	0.17	0.115	0.106	0.106	0.119	0.11	0.116	0.105	0.102	0.113
10.0006	0.099	0.275	0.274	0.276	0.249	0.24	0.242	0.22	0.198	0.19	0.25	0.247	0.243	0.239	0.235	0.229	0.117	0.11	0.109	0.123	0.114	0.121	0.106	0.103	0.115
12.0008	0.103	0.3	0.292	0.295	0.269	0.261	0.263	0.23	0.218	0.215	0.265	0.256	0.249	0.277	0.273	0.271	0.127	0.12	0.119	0.134	0.124	0.131	0.112	0.109	0.121
14.0011	0.099	0.304	0.286	0.291	0.274	0.272	0.272	0.23	0.219	0.218	0.246	0.228	0.221	0.278	0.272	0.276	0.125	0.125	0.122	0.135	0.126	0.134	0.109	0.108	0.12
16.0006	0.099	0.29	0.286	0.285	0.298	0.293	0.297	0.235	0.223	0.219	0.224	0.217	0.219	0.271	0.276	0.274	0.135	0.128	0.129	0.142	0.127	0.131	0.106	0.108	0.127
18.0006	0.106	0.297	0.289	0.288	0.313	0.305	0.306	0.238	0.223	0.217	0.222	0.214	0.212	0.267	0.272	0.273	0.131	0.121	0.126	0.122	0.127	0.134	0.11	0.109	0.128
20.0011	0.11	0.298	0.289	0.29	0.318	0.292	0.313	0.232	0.224	0.225	0.221	0.216	0.213	0.27	0.274	0.274	0.146	0.133	0.141	0.146	0.139	0.141	0.106	0.115	0.134
22.0008	0.103	0.293	0.289	0.288	0.319	0.313	0.315	0.239	0.23	0.221	0.211	0.202	0.203	0.266	0.269	0.272	0.144	0.139	0.135	0.143	0.136	0.139	0.117	0.123	0.134
24.0006	0.11	0.287	0.273	0.271	0.32	0.317	0.317	0.238	0.228	0.229	0.218	0.211	0.209	0.275	0.262	0.274	0.144	0.139	0.151	0.15	0.145	0.143	0.122	0.123	0.139
26.0011	0.114	0.295	0.294	0.289	0.324	0.321	0.321	0.244	0.232	0.233	0.22	0.214	0.21	0.277	0.279	0.28	0.165	0.157	0.157	0.151	0.146	0.149	0.133	0.139	0.149
28.0006	0.114	0.294	0.292	0.287	0.327	0.323	0.324	0.245	0.233	0.235	0.22	0.214	0.21	0.278	0.28	0.279	0.175	0.166	0.166	0.152	0.149	0.151	0.138	0.145	0.155
