sample	diversity	stage
B1	2	Down
B2	8	Down
B3	2	Down
B4	2	Down
B5	1	Down
B6	9	Down
B7	5	Down
B8	2	Down
B9	1	Down
B10	2	Down
B11	3	Down
B12	2.5	Down
B13	4	Down
B14	12	Down
B15	5	Down
B16	4	Down
B17	3	Down
B18	4.5	UP
B19	10	UP
B20	5	UP
B21	6	UP
B22	9	UP
B23	8	UP
B24	7	UP
B25	4	UP
B26	7	UP
B27	8	UP
B28	7	UP
B29	1.5	UP
B30	7	UP
B31	2	UP
B32	8	UP
B33	7	UP
B34	7	UP
B35	4	UP
B36	8	UP
B37	7	UP
B38	8	UP
B39	7	UP
B40	7	UP
B41	9	UP
B42	1	UP
B43	1	UP
B44	8	UP
B45	7	UP
