sample	diversity	stage
R2	6	Down
R3	2	Down
R4	3	Down
R5	3	Down
R6	8	Down
R7	2	Down
R8	2	Down
R9	1	Down
R10	6	Down
R11	2	Down
R12	3	Down
R13	2	Down
R14	3.5	Down
R15	4	Down
R16	9	Down
R17	3	Down
R18	2	Down
R19	2	Down
R20	6	Down
R21	1	Down
R22	2	Down
R23	2.5	Down
R24	1	Down
R25	3	Down
R26	3	Down
R27	2	Down
R28	2.5	Down
R29	5	Down
R30	3	Down
R31	4	Down
R32	4	Down
R33	1	Down
R34	3	Down
R35	4	Down
R36	3	Down
R37	4	Down
R38	12	Down
R39	2	Down
R40	5	Down
R41	6	Down
R42	6	Down
R43	4	Down
R44	4	Down
R45	5	Down
R46	3	Down
R47	3	Down
R48	4.5	Up
R49	3	Up
R50	10	Up
R51	5	Up
R52	2	Up
R53	6	Up
R54	1	Up
R55	4	Up
R57	8	Up
R58	3	Up
R59	2	Up
R60	7	Up
R61	4	Up
R62	7	Up
R63	8	Up
R64	7	Up
R66	1.5	Up
R67	0	Up
R68	9	Up
R69	3	Up
R70	7	Up
R71	3	Up
R72	2	Up
R73	2	Up
R74	8	Up
R75	8	Up
R76	4	Up
R77	7	Up
R78	7	Up
R79	2	Up
R80	4	Up
R81	8	Up
R82	4	Up
R83	7	Up
R84	8	Up
R85	7	Up
R86	7	Up
R87	9	Up
R88	1	Up
R89	8	Up
R90	7	Up
